name,sorted_name,similar_names
Nancy Rodgers,nancy rodgers,"['Nancy Roberts, Nancy Sommers, Mary Rodgers']"
Sandor Lehoczky,lehoczky sandor,['']
Ferdinand Petrie,ferdinand petrie,['']
Martin Edwards,edwards martin,['Marilyn Edwards']
Rich Balling,balling rich,"['Rich Ling, Rich Gulling']"
Emily M. Bender,bender emily m.,['']
Priscilla Knox Morrison,knox morrison priscilla,['']
Olga Kharitidi,kharitidi olga,['']
Jessica Keyes,jessica keyes,['']
Ron L. Deal,deal l. ron,['']
Genevieve Graham,genevieve graham,['']
Cory Graff,cory graff,['']
W.B. Thomas,thomas w.b.,['']
Paul Tremblett,paul tremblett,['']
Penelope Faure,faure penelope,['']
Iola Fuller,fuller iola,['']
Amy Silver,amy silver,['']
Liza Prior Lucy,liza lucy prior,['']
Kenneth A. Brown,a. brown kenneth,['Kenneth A. Bollen']
Sherry Ruth Anderson,anderson ruth sherry,['']
Thomas Blass,blass thomas,"['Ross Thomas, Thomas Clark, Thomas Bloor']"
Barrett Fox,barrett fox,['']
Heinrich Pesch,heinrich pesch,['']
Tricia Gardella,gardella tricia,['Tricia Gomella']
Kate Ross,kate ross,['Pat Ross']
Hélène Cixous,cixous hélène,['Häl_ne Cixous']
Kenneth Cloke,cloke kenneth,"['Kenneth Clark, Kenneth Burke']"
Gershon Legman,gershon legman,['']
Nyanaponika,nyanaponika,['']
Sterling Professor of History and Director of the Gilder Lehrman Center for the Study of Slavery Resistance and Abolition David Brion Davis,abolition and and brion center david davis director for gilder history lehrman of of of professor resistance slavery sterling study the the,['']
Beverly Brandt,beverly brandt,['']
Antonia Michaelis,antonia michaelis,['']
Gilles Néret,gilles néret,['']
Anita Bean,anita bean,['']
Carrie Brown,brown carrie,"['Larry Brown, Marcia Brown, Marie Drown']"
Kevin Starr,kevin starr,['']
Paola Capriolo,capriolo paola,['']
Diane Guerrero,diane guerrero,['']
Ian McDermott,ian mcdermott,['']
Michael J. Hernandez,hernandez j. michael,['']
Daphne Dubois,daphne dubois,['']
Sarah Ogilvie,ogilvie sarah,['']
Alexandra Parma Cook,alexandra cook parma,['']
Clark Thyen,clark thyen,['']
Josh Smith,josh smith,['Joel Smith']
Stanlee Phelps,phelps stanlee,['']
Christine Filardi,christine filardi,['']
James M. Gabler,gabler james m.,['James M. Dale']
T. M. Logan,logan m. t.,['']
E. D. Hirsch,d. e. hirsch,['']
Chris D. Meletis,chris d. meletis,['']
