Title,authors
"Lost Romance Ranch (Route 66 Series, Book 3)",['Gale Group']
Lonely Planet India & Bangladesh Travel Atlas,"['Lonely Planet', 'Michael Benanav', 'Joe Bindloss', 'Lindsay Brown', 'Stuart Butler', 'Mark Elliott', 'Paul Harding', 'Trent Holden', 'Anirban Mahapatra', 'Bradley Mayhew', 'Daniel McCrohan', 'John Noble', 'Kevin Raub', 'Sarina Singh', 'Iain Stewart', 'Isabella Noble']"
Noodles Du Jour,['Wally Armbruster']
The Rise of the Great Powers 1648 - 1815 (The Modern European State System),"['Derek Mckay', 'H.M. Scott']"
"Knowledge, Power and International Policy Coordination (Studies in International Relations)",['Peter M. Haas']
The Portable Poe: 2,['Edgar Allan Poe']
Philosophic Classics: From Plato to Derrida (3rd Edition),['Forrest E. Baird']
The St. Louis German Catholics,['William Barnaby Faherty']
Twenty Years on the Cape: My Time As a Surfcaster,['Frank Daignault']
"The Pony Rider Boys in Alaska; or, The Gold Diggers of Taku Pass",['Frank Gee Patchin']
"Landscape Ecology, Function and Management","['J Ludwig', 'D Tongway', 'K Hodgkinson', 'D Freudenberger', 'J Noble']"
A Tradition Restored: USC's 2003 Championship Season,"['Dailey News of Los Angeles', 'Los Angeles Daily News', 'Press-Telegram']"
Travel Journal,['Travel Journals Canals of Amsterdam']
Acting Across America,"['Ellen Margolis', 'Lissa Tyler Renaud']"
Outposts,['Simon Winchester']
Making Books by Hand: A Step-by-Step Guide,['Aldren A. Watson']
The Manikin: A Novel,['Joanna Scott']
The Collector's Edition of Victorian Erotica,"['Major LaCaritilie', 'Magic Carpet Books']"
O'Higgins and Don Bernardo,['Edna Deu Pree Nelson']
Island,['Anne Cholawo']
Raising Gifted Kids: Everything You Need to Know to Help Your Exceptional Child Thrive,['Barbara Schave Klein']
El Kybalion,['Tres Iniciados']
Frank Lloyd Wright: Visionary Architect (People to Know),['David K. Wright']
The Top Ten List for Christians with Leader's Guide: Priorities for Faithful Living,['James W. Moore']
Pla/Cebo,"['Franklin G. Miller', 'Luana Colloca', 'Ted J. Kaptchuk']"
Pons Global Dictionary English German : Pons Global Woerterbuch Klett Englisch Deutsch,['Peter Terrel']
You Can Have Your Cheese and Eat It Too!: A Complete Guide for Closing the Gap Between Where You Are and Where You Want to Be,"['Foshanta L. Garth', 'Deanita H. McCall']"
The country-house burglar,['Michael Francis Gilbert']
"ASEAN's Diplomatic and Security Culture: Origins, Development and Prospects",['Jurgen Haacke']
The Handsome road,['Gwen Bristow']
The Organic Codes: An Introduction to Semantic Biology,['Marcello Barbieri']
The Lost Village of Central Park (Mysteries in Time),['Hope Lourie Killcoyne']
Elementary Differential Equations,"['William E. Boyce', 'Richard C. DiPrima']"
Environmental Science: Toward A Sustainable Future (8th Edition),"['Richard T. Wright', 'Bernard J. Nebel']"
"Records of Shelley, Byron, and the author",['Edward John Trelawny']
Everyday Magic: The Power of Memes,['Ken Renshaw']
Brilliant Bead Rings (Crafts),['Annalees Lim']
"Women Creating Lives: Identities, Resilience, And Resistance",['Abby J Stewart']
Emotional Honesty & Self-Acceptance,['Ronald R. Brill']
Learn to Play Golf in a Weekend,['Peter Ballingall']
Living from Neutrality,['Malvina Cathleen Kaveny']
Little Critter: Just a School Project,['Mercer Mayer']
Tu Beb: desde la Concepcin hasta los 12 meses (Spanish Edition),['Daniel Goleman']
TV Wonderland: The Enchantment of Early Television,"['Brad Schepp', 'Debra Schepp']"
Life with father,['Clarence Day']
"The Story Of Civilization (Eleven Volumes, Complete)","['Will Durant', 'Ariel Durant']"
Christmas with Dickens,['Charles Dickens']
"10,000 Leagues Over The Sea",['William Albert Robinson']
Neuropsychology of Weight Control: Personal Progress Journal,"['SyberVision Systems, Inc']"
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),['Peter McWilliams']
Kenny Doin' Just Fine,['Sadie Wernick Hurwitz']
The Pocket Book of Ogden Nash,['Ogden Nash']
Harry on the Rocks,['Susan Meddaugh']
Being a Man: A Guide to the New Masculinity,['Robert Masters']
Cambridge Practice Tests for IELTS 1 Self-study Student's Book (IELTS Practice Tests),"['Vanessa Jakeman', 'Clare McDowell']"
Marshall Hollenzer is Driving,['Owen Egerton']
Saint Martin de Porres,"['Giuliana Cavallini', 'Caroline Holland']"
The concept of irony: With constant reference to Socrates,['Søren Kierkegaard']
Cienfuegos (Exitos) (Spanish Edition),"['Ernest Miller Hemingway', 'J.W.F. Werumeus Buning']"
"Three Years Among the Comanches: The Narrative of Nelson Lee, the Texas Ranger",['Nelson Lee']
The Bruce Lee Story,"['Linda Lee', 'Mike Lee']"
Sweet Dream Baby,['Sterling Watson']
