Title,authors
The Gods of Mars,['Edgar Rice Burroughs']
Beauty & Submission,['Joanna Frueh']
PE Sample Questions and Solutions: Chemical Engineering,"['Dilip K. Das', 'Rajaram K. Prabhudesai']"
Man Who Planted Trees,['Jean Giono']
Fitworks Your 21st Century Way to Total Fitness,['Robert D. SaintLaurent']
"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",['Dean Koontz']
The Gifted Adult: A Revolutionary Guide for Liberating Everyday Genius(tm),['Mary-Elaine Jacobsen']
Dilbert 1. Aplace Siempre Sus Reuniones,"['Scott Adams', 'Martín Perazzo']"
A Wise Woman,['Philippa Gregory']
Dark Age Warrior,['John Matthews']
The Forsythe Saga,['John Galsworthy']
In Athena's Camp: Preparing for Conflict in the Information Age,"['John Arquilla', 'David Ronfeldt']"
"The Female Malady: Women, Madness and English Culture, 1830-1980",['Elaine Showalter']
The Magic Barrel,['Bernard Malamud']
Small-Circle Jujitsu,['Wally Jay']
Bitter Grounds: A Novel,['Sandra Benitez']
Scroll Saw: Plain & Simple Fun (Scroll Saw Pattern Books),['Patrick Spielman']
Trust No One,['Debra Webb']
Midworld,['Alan Dean Foster']
The Fire Next Time,['James Baldwin']
The Book of Love Laughter & Romance,['Coleman Barks']
Learning To Bow - Inside The Heart Of Japan,['Bruce S. Feiler']
Man-Kzin Wars IX,"['Larry Niven', 'Poul Anderson', 'Paul Chafe', 'Hal Colebatch']"
Dragon Chronicles,['Susan Fletcher']
Chances Are,['Richard Russo']
Lost Cities of North & Central America (Lost Cities Series),['David Hatcher Childress']
A Time in Rome,['Elizabeth Bowen']
Extreme Exploits: Advanced Defenses Against Hardcore Hacks (Hacking Exposed),"['Andrew Vladimirov', 'Konstantin Gavrilenko', 'Andrei Mikhailovsky']"
Representing Reality: Issues and Concepts in Documentary,['Bill Nichols']
Junk Science Judo: Self-Defense against Health Scares and Scams,['Steven J. Milloy']
Puss in Boots Hb (Read It Yourself),"['Barbara Barstow', 'Judith Riggle']"
THE SHADOW IN THE GLASS,['JJA Harwood']
Building Moral Intelligence: The Seven Essential Virtues that Teach Kids to Do the Right Thing,['Michele Borba']
Language and Symbolic Power,['Pierre Bourdieu']
Bette (Women of Ivy Manor Series #2),['Lyn Cote']
Even A Daughter Is Better Than Nothing,['Mykel Board']
Membership Development: An Action Plan for Results (Aspen's Nonprofit Management Series),"['Patricia Rich', 'Dana Hines']"
Mockery Bird,['Gerald Durrell']
"Around the world single-handed: The cruise of the ""Islander""",['Harry Pidgeon']
Peregrine,['John Alec Baker']
Latin for Beginners (Language Guides),"['Clifford A. Hull', 'Steven R. Perkins', 'Tracy Barr']"
Honour the Dead,['John Dean']
The Best Short Stories of Edgar Allan Poe,['Edgar Allan Poe']
Burmese (Myanmar) Dictionary of Grammatical Forms,"['John Okell', 'Anna Allott']"
In the Beginning,['John Christopher']
Finance in Continuous Time,['Robert C. Merton']
Your Signature Work: Creating Excellence and Influencing Others at Work,['Dianna Booher']
Voices From the Earth: Practical Shamanism,"['Nick Wood', 'Nicholas Wood']"
COCKTAILS FOR THREE,['Madeleine Wickham']
Counseling With Our Councils: Learning to Minister Together in the Church and in the Family,['M. Russell Ballard']
The Cruelest Months,['Louise Penny']
Manson in His Own Words: The Shocking Confessions of 'The Most Dangerous Man Alive',"['Charles Manson', 'Nuel Emmons']"
Empire From the Ashes,['David Weber']
Nappily Ever After,['Trisha R. Thomas']
"Good Muslim, Bad Muslim: America, the Cold War, and the Roots of Terror",['Mahmood Mamdani']
Pushing Ice,['Alastair Reynolds']
Remembering Herbie: Celebrating the Life and Times of Hockey Legend Herb Brooks,['Ross Bernstein']
Performance Skiing: Training and Techniques to Make You a Better Alpine Skier,['George Thomas']
Clifford's Halloween,['Norman Bridwell']
Rabbit Race (Animal Ark Pets #3),['Ben M. Baglio']
the Greengage Summer,['Rumer Godden']
King Rat,['James Clavell']
Chopin: The Man and His Music,['James Huneker']
The Ultimate Guide to Freshwater Fishing,"['Dick Sternberg', 'North American Fishing Club']"
"Nursery Knits: 25 Easy-Knit Designs for Clothes, Toys and Decorations",['Zoe Mellor']
Healing Life's Hurts: Healing Memories through the Five Stages of Forgiveness,"['Matthew Linn', 'Dennis Linn']"
Voodoo in New Orleans,['Robert Tallant']
Letters from New Orleans,['Rob Walker']
Vindication,['Mary Wollstonecraft']
Nonna's Italian Kitchen: Delicious Home-Style Vegan Cuisine (Healthy World Cuisine),['Bryanna Clark Grogan']
The island keeper,['Harry Mazer']
Sea Runners,['Ivan Doig']
Frederick Douglass,['Frederick Douglass']
Helter Skelter,"['Vincent Bugliosi', 'Curt Gentry']"
The Temple of the Golden Pavilion,['Yukio Mishima']
Fierce Eden,['Jennifer Blake']
One very hot day,['David Halberstam']
Forward the Mage,"['Eric Flint', 'Richard Roach']"
Multiple Choice & Free-Response Questions in Preparation for the AP Calculus (AB) Examination / Student's Solutions Manual: Eighth Edition,['Alejandro Zambra']
Wings Above the Diamantina,['Arthur W. Upfield']
"Salem Possessed, The Social Origins of Witchcraft",['Paul Boyer']
Psalms Now,['Leslie F. Brandt']
The God of the Gospel of John,['Jean Vanier']
The Diamond Hunters (Eagle Large Print),['Wilbur Smith']
Surrendered,['Laura Doyle']
Sweet Hush: A Novel,['Deborah Smith']
Face of a Stranger (William Monk),['Anne Perry']
Science of the Gods,['Nancy Ellen Abrams']
The Nature and Origins of Mass Opinion (Cambridge Studies in Public Opinion and Political Psychology),"['John R. Zaller', 'Zaller John R']"
FATHERS & HERETICS,['Robert Wolgemuth']
The Great Divide: The Rocky Mountains in the American Mind,['Gary Ferguson']
The Shadow Of The Lion,"['Mercedes Lackey', 'Eric Flint', 'Dave Freer']"
A Study in Scarlet and The Sign of Four,['Arthur Conan Doyle']
The Thin Red Line (BFI Film Classics),"['Michel Chion', 'I. B. Tauris']"
"Raymond Chandler: Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell, My Lovely / The High Window (Library of America)",['Raymond Chandler']
Small Gods,['Terry Pratchett']
The Gluten-Free Bible: The Thoroughly Indispensable Guide to Negotiating Life without Wheat,['Jax Peters Lowell']
The Year Is '42: A Novel,['Nella Bielski']
The life of David,['Robert Pinsky']
Hard Times,['Charles Dickens']
Fire and Ice: Two Deadly Disasters (Fire at Peshtigo; Shipwreck on Lake Michigan),"['Ken Wardius', 'Barb Wardius']"
An Antebellum Plantation Household: Including the South Carolina Low Country Receipts and Remedies of Emily Wharton Sinkler with Eighty-Two Newly Dis (Women's Diaries and Letters of the South),['Anne Sinkler Whaley LeClercq']
The Portable Oscar Wilde: 2,['Oscar Wilde']
Anno Dracula,['Kim Newman']
Crucial Confrontations,"['Kerry Patterson', 'Joseph Grenny', 'Ron McMillan', 'Al Switzler']"
Treasure Chests: The Legacy of Extraordinary Boxes,['Lon Schleining']
"Woman at the window, a novel",['A. J. Finn']
A Rip in Heaven: A Memoir of Murder And Its Aftermath,['Jeanine Cummins']
All Things Are Lights,['Robert Shea']
By Any Other Name,['Nancy Gift']
The interpretation of dreams,['Sigmund Freud']
"Man of La Mancha;: A musical play,",['Dale Wasserman']
No Disrespect,['Sister Souljah']
The Healing Time of Hickeys,['Karen Rivers']
Spurgeon's Sermons Volume 10,['C. H. Spurgeon']
Diary Kept by T.E. Lawrence While Travelling in Arabia During 1911 (Folios Archive Library),['Thomas Edward Lawrence']
How to Write and Speak Correctly,['Joseph Devlin']
A New England Girlhood,['Lucy Larcom']
The Clan of the Cave Bear,['Jean M. Auel']
The Best of Dear Abby,['Abigail Van Buren']
A Complete Guide to Bird Feeding,['John V. Dennis']
Standard & Poor's MidCap 400 Guide 2000,['Dennis Freeborn']
Hitler's Luftwaffe: A Pictorial History and Technical Encyclopedia of Hitler's Air Power in World War II,"['Tony Wood', 'Bill Gunston']"
The Dragonling (A Springboard Book),['Jackie French Koller']
A book of nonsense,['Edward Lear']
Walt Whitman: Selected Poems 1855-1892,['Walt Whitman']
Raymond Chandler: Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback /Double Indemnity / Selected Essays and Letters (Library of America),['Raymond Chandler']
In the Coils of the Snake: Book III -- The Hollow Kingdom Trilogy,['Clare B. Dunkle']
The Parables: Understanding What Jesus Meant,['Gary Inrig']
The Far-Enough Window: A Fairy Tale for Grown-Ups of All Ages,['Rowan Coleman']
Degrees of Guilt: Miranda's Story,['Melody Carlson']
An Exposition of Hebrews,['Arthur W. Pink']
Language,['Leonard Bloomfield']
French Music for Accordion Volume 1 (Mel Bay Presents),['Larry Hallar']
"Boosters Hustlers and Speculators: Entreprenurial Culture and the Rise of Minneapolis and St Paul, 1849-1883",['Jocelyn Wills']
Miss Pickerell Goes to Mars,['Ellen MacGregor']
Dispatches from the Front: Theological Engagements with the Secular,['Stanley Hauerwas']
Guilty Pleasures - Historical Erotic Romances,['Bertrice Small']
Badenheim 1939,['Aharon Apelfeld']
Mr. Timothy : A Novel (P.S.),['Louis Bayard']
"Mouse, Mole, and the Falling Star",['A. H. Benjamin']
Pea Pod Babies,['Karen Baicker']
A Heart for Any Fate,"['Linda Crew', 'Jennifer Armstrong']"
Climbing High: A Woman's Account of Surviving the Everest Tragedy,"['Lene Gammelgaard', 'Press Seal']"
The Cosmological Eye,['Henry Miller']
The Gospel According to Matthew: An Introduction and Commentary (Tyndale New Testament Commentaries),['R. T. France']
Bear Hug: A Tom Bethany Mystery,['Jerome Doolittle']
The Chinese bell murders (Avon books),['Robert Hans van Gulik']
America The Beautiful 2001,"['Katharine Lee Bates', 'Scholastic Inc.']"
Exit to Eden,"['Anne Rice', 'Anne Rampling']"
The charismatic movement,['Walter J. Hollenweger']
Herland,['Charlotte Perkins Gilman']
The Hatter's Phantoms,['Georges Simenon']
Acts: Build Community,['John Ortberg']
Phoenix In The Ashes.,['H. J. A. Sire']
Dear Mad'm,['Stella Walthall Patterson']
INFRARED DETECTORS & SYSTEMS,"['E. L. Dereniak', 'G. D. Boreman']"
Rogets Ii New,['Peter Mark Roget']
Finnegans Wake,['James Joyce']
Nurse's Calling: A Christian Spirituality for Caring for the Sick,"[""Mary Elizabeth O'Brien""]"
Twilight of the Idols and the Anti-Christ,['Friedrich Nietzsche']
Spiritual Disciplines for the Christian Life (Pilgrimage Growth Guide),['Donald S. Whitney']
The 2 1/2 Pillars of Wisdom (The Von Igelfeld Trilogy),['Alexander McCall Smith']
Into the Woods,['Lyn Gardner']
Creation Regained: Biblical Basics for a Reformational Worldview,['Albert M. Wolters']
Can You Make a Piggy Giggle?,['Linda Ashman']
Visions of You,['Myles Munroe']
Afternoons with Mr. Hogan,['Jody Vasquez']
THE LOST ART OF DISCIPLE MAKING,['LeRoy Eims']
